goal_id,match_id,minute,goal_type,player_id,assist_player_id,event_type,player_name,is_penalty,is_own_goal,xg_probability,shot_quality_index
goal_f0917fc921d9,match_3a3a74ba4081,75,right-footed_shot,player_7b8ecac5bf37,NULL,goal,Marco Verratti,False,False,NULL,NULL
goal_09e9ba53e883,match_3a3a74ba4081,79,right-footed_shot,player_3607b6686fd5,player_14e9dc5eeb0a,goal,Edinson Cavani,False,False,NULL,NULL
goal_ddfb563ba16d,match_3a3a74ba4081,80,null,player_e7d23867dd7c,player_f8481e6b014e,goal,Dani Alves,False,False,NULL,NULL
goal_b18d2c9b0d28,match_af723f5daea2,8,left-footed_shot,player_a055d3e58c07,player_b08d39af731a,goal,Robert Lewandowski,False,False,NULL,NULL
goal_c7f280eaf2e7,match_af723f5daea2,37,header,player_eaeb293a1420,player_9e63edda08e1,goal,Corentin Tolisso,False,False,NULL,NULL
goal_5c5576a708e3,match_af723f5daea2,50,header,player_4d9edf726eac,player_2c2e58b5f17d,goal,Kylian Mbappé,False,False,NULL,NULL
goal_fe3711634afc,match_af723f5daea2,69,right-footed_shot,player_eaeb293a1420,player_b08d39af731a,goal,Corentin Tolisso,False,False,NULL,NULL
goal_2a5cdd0a2c13,match_442092a3f52f,62,own_goal,player_d41d8cd98f00,NULL,goal,NULL,False,True,NULL,NULL
goal_38d11baf0e98,match_e2a10aa35a08,5,right-footed_shot,player_c6cc8094c2dc,player_45e5c4689c1a,goal,Pedro,False,False,NULL,NULL
goal_2729612906ca,match_e2a10aa35a08,30,right-footed_shot,player_6409449e77e2,NULL,goal,Davide Zappacosta,False,False,NULL,NULL
goal_debf2831838e,match_e2a10aa35a08,55,header,player_89bae2db9564,player_4b3842ab7a1b,goal,Azpilicueta,False,False,NULL,NULL
goal_77e6de31ed7e,match_e2a10aa35a08,71,null,player_4041e5e4778b,NULL,goal,Tiemoué Bakayoko,False,False,NULL,NULL
goal_07787cc9f7f9,match_e2a10aa35a08,76,right-footed_shot,player_c9e6f6ec6005,player_6fa6eee6702c,goal,Michy Batshuayi,False,False,NULL,NULL
goal_bf7f84192778,match_e2a10aa35a08,82,own_goal,player_1f31a96964d7,player_fbd01e792b54,goal,Maksim Medvedev,False,True,NULL,NULL
goal_44e6ab943e88,match_944f9a15babd,7,header,player_5bfe40b0828c,player_47bbe396da88,goal,Kostas Manolas,False,False,NULL,NULL
goal_cada1adaf651,match_944f9a15babd,15,right-footed_shot,player_9e4d4773729a,player_77242893e564,goal,Edin Džeko,False,False,NULL,NULL
goal_5059bc816467,match_944f9a15babd,28,right-footed_shot,player_f68cf23bbd7d,player_01dc09897bba,goal,Pedro Henrique,False,False,NULL,NULL
goal_88c464c7c792,match_b68ff04b00c3,40,penalty,player_6797bdaada0e,player_91a0e2528587,goal,Antoine Griezmann,True,False,NULL,NULL
goal_e890c2d71440,match_b68ff04b00c3,60,header,player_a38290a56b29,player_f7ee8633b75e,goal,Álvaro Morata,False,False,NULL,NULL
goal_72e3a96a42f0,match_b68ff04b00c3,90,right-footed_shot,player_c9e6f6ec6005,player_f069110fa665,goal,Michy Batshuayi,False,False,NULL,NULL
goal_53b0bde3b7c0,match_8c6e2fea8088,11,right-footed_shot,player_36d8ccdd280e,NULL,goal,David Luiz,False,False,NULL,NULL
goal_6142764d59c9,match_8c6e2fea8088,37,right-footed_shot,player_43b7943cacfd,player_7215cf219beb,goal,Eden Hazard,False,False,NULL,NULL
goal_c61fa5a15122,match_8c6e2fea8088,40,left-footed_shot,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_95536dae62ba,match_8c6e2fea8088,64,left-footed_shot,player_9e4d4773729a,player_010839296622,goal,Edin Džeko,False,False,NULL,NULL
goal_47a5dfec2656,match_8c6e2fea8088,70,header,player_9e4d4773729a,NULL,goal,Edin Džeko,False,False,NULL,NULL
goal_e931faca0f83,match_8c6e2fea8088,75,header,player_43b7943cacfd,player_07afe90451ae,goal,Eden Hazard,False,False,NULL,NULL
goal_4b6f66720235,match_85987af660e4,1,right-footed_shot,player_4c567f8aefa5,player_8bf3f464e40a,goal,Stephan El Shaarawy,False,False,NULL,NULL
goal_68a5233e0210,match_85987af660e4,36,right-footed_shot,player_4c567f8aefa5,player_0c30602fea39,goal,Stephan El Shaarawy,False,False,NULL,NULL
goal_77140aef8e8d,match_85987af660e4,63,right-footed_shot,player_d41d8cd98f00,NULL,goal,NULL,False,False,NULL,NULL
goal_8054b0a37e42,match_32532ce3c15e,40,header,player_d41d8cd98f00,player_70a9d650a622,goal,NULL,False,False,NULL,NULL
goal_a0038bb7d246,match_32532ce3c15e,56,right-footed_shot,player_04847a03f721,player_91d1f7b2ed17,goal,Thomas Partey,False,False,NULL,NULL
goal_d7acbaa136b7,match_b02553da275b,21,penalty,player_43b7943cacfd,NULL,goal,Eden Hazard,True,False,NULL,NULL
goal_0a397e79e024,match_b02553da275b,36,right-footed_shot,player_6c4ee85ff749,player_f7ee8633b75e,goal,Willian,False,False,NULL,NULL
goal_b46cffff0cf2,match_b02553da275b,73,penalty,player_4fa682f3bdf6,NULL,goal,Cesc Fàbregas,True,False,NULL,NULL
goal_649fa083756c,match_b02553da275b,85,right-footed_shot,player_6c4ee85ff749,player_07afe90451ae,goal,Willian,False,False,NULL,NULL
