player_id,degree,strength,pagerank,eigenvector,betweenness
player_7fba3f68c548,5,1.9901438797510744,3.2119410958572158e-06,0.0,1.5972399693329925e-07
player_007678d52721,6,2.2873085952444434,3.8712823527465164e-06,0.0,4.528175313059034e-05
player_daec7b9f8cf9,24,8.53599856053612,1.3393981745268976e-05,0.0,0.0014225817786864298
player_0a8911b92dd7,15,5.4742021635776945,8.807357096354831e-06,0.0,0.000393639790442116
player_edc58af0dd5b,27,9.1649213457185,1.480000625577774e-05,0.0,0.000706432617769827
player_68e5cc24a84e,7,1.7980669608975652,3.6793293238313987e-06,0.0,0.0034643602521509495
player_a36f3380b794,6,2.2984243196479364,3.719536846280923e-06,0.0,0.00011585313910895305
player_536d52fa4a05,29,9.908290135095807,1.5750636905802875e-05,0.0,0.0013754631995911064
player_0601b0f46df0,32,13.305394699316752,1.84969615120508e-05,0.0,0.0013798822301729278
player_d3ec120706f7,23,9.890377042339402,1.3251561870321363e-05,0.0,0.0005599124712496805
player_533004a67efe,18,8.307180955514957,9.260016642076585e-06,0.0,0.0011764470994122156
player_066f2ebdc3e1,17,5.260206363139007,8.667574519921322e-06,0.0,0.009933022403952637
player_abb5247cdbdf,8,3.371804539408071,5.604324898462435e-06,0.0,2.164260158446205e-05
player_9c7e5762ebf5,7,2.9969296905788942,4.48679355751736e-06,0.0,8.758199165175908e-06
player_d167a8b5937a,58,21.32349747008826,3.072531963766036e-05,0.0,0.022631506090808415
player_cfea3f3802dc,5,1.8628441988242628,4.109731811898397e-06,0.0,1.895391430275151e-05
player_6797bdaada0e,73,33.60055460683601,3.923074371088758e-05,0.0,0.015258779495698099
player_4342ea84b31b,13,4.726284876946626,7.746956272657031e-06,0.0,0.00014391132123690262
player_049d072102fa,38,18.624037219405746,2.0085902714979432e-05,0.0,0.004877438453019848
player_79b2d189c8d8,11,2.7243944238480404,5.908899759042209e-06,0.0,0.007746613851265014
player_2c1a721cfd13,23,8.742043556442583,1.2781107797366004e-05,0.0,0.0040509200102223355
player_92066ccff864,17,5.566723312781444,9.6482865591751e-06,0.0,0.0027458684726126585
player_5909fe1b1993,25,10.590401559548358,1.305674148048684e-05,0.0,0.0004986316977596047
player_c591472f6c42,16,5.954909992292773,9.075783288703273e-06,0.0,0.00042103245591617683
player_90dfb7cdc147,39,17.286187560982224,2.2378857600468296e-05,0.0,0.0012165910639747848
player_89f4cba68559,34,11.811248899905944,1.8829006163248675e-05,0.0,0.012565699804071897
player_a41ad07569f5,7,2.098058188179695,3.786109989412345e-06,0.0,0.0012957343044552347
player_3af09c475397,5,1.552928320521307,3.3337092248613393e-06,0.0,5.1617471675611204e-05
player_8a4c00a3bc43,59,26.023795340814107,3.157705839238327e-05,0.0,0.018176510989010988
player_73421d5f292c,5,1.9177921718478015,3.3581700795284735e-06,0.0,0.0002220429764034415
player_d2cfe169e083,38,15.263448537014833,2.0710887378032623e-05,0.0,0.006869649246102734
