match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
m_29,2011-2012,14-02-2012,e1e2b54b5c32,550d05ab240e,BayArena,Leverkusen,Alemania,Craig Thomson,1,3,0.25,0.75
m_30,2011-2012,07-03-2012,550d05ab240e,e1e2b54b5c32,Camp Nou,Barcelona,España,Svein Oddvar Moen,7,1,0.77,0.23
m_31,2011-2012,15-02-2012,088d5f86b6f2,4fc9baf21034,San Siro,Milán,Italia,Viktor Kassai,4,0,0.43,0.57
m_32,2011-2012,06-03-2012,4fc9baf21034,088d5f86b6f2,Emirates Stadium,Londres,Inglaterra,Damir Skomina,3,0,0.45,0.55
m_33,2011-2012,14-02-2012,debecab907cc,780e35ea5cda,Stade Gerland,Lyon,Francia,Paolo Tagliavento,1,0,0.64,0.36
m_34,2011-2012,07-03-2012,780e35ea5cda,debecab907cc,GSP Stadium,Nicosia,Chipre,Alberto Undiano Mallenco,1,0,0.46,0.54
m_35,2011-2012,15-02-2012,479bf0803cf7,e4bbc3bef62e,Petrovsky Stadium,San Petersburgo,Rusia,Jonas Eriksson,3,2,0.54,0.46
m_36,2011-2012,06-03-2012,e4bbc3bef62e,479bf0803cf7,Estadio da Luz,Lisboa,Portugal,Howard Webb,2,0,0.43,0.57
m_37,2011-2012,21-02-2012,8d7f8b2497f7,93330b415214,Luzhniki Stadium,Moscú,Rusia,Björn Kuipers,1,1,0.46,0.54
m_38,2011-2012,14-03-2012,93330b415214,8d7f8b2497f7,Santiago Bernabeu,Madrid,España,Stéphane Lannoy,4,1,0.63,0.37
m_39,2011-2012,21-02-2012,c600c031a1ea,8056df088208,Stadio San Paolo,Napoles,Italia,Carlos Velasco Carballo,3,1,0.42,0.58
m_40,2011-2012,14-03-2012,8056df088208,c600c031a1ea,Stamford Bridge,Londres,Inglaterra,Felix Brych,4,1,0.56,0.44
m_41,2011-2012,22-02-2012,8377de0f1845,db41658ae019,Stade Velodrome,Marseille,Francia,Cüneyt Çakır,1,0,0.59,0.41
m_42,2011-2012,13-03-2012,db41658ae019,8377de0f1845,San Siro,Milán,Italia,Pedro Proença,2,1,0.48,0.52
m_43,2011-2012,22-02-2012,aea93afdf4be,240dd2121e44,St. Jakob-Park,Basilea,Suiza,Nicola Rizzoli,1,0,0.39,0.61
m_44,2011-2012,13-03-2012,240dd2121e44,aea93afdf4be,Allianz Arena,Munich,Alemania,Mark Clattenburg,7,0,0.0,0.0
m_45,2011-2012,27-03-2012,780e35ea5cda,93330b415214,GSP Stadium,Nicosia,Chipre,Felix Brych,0,3,0.22,0.78
m_46,2011-2012,04-04-2012,93330b415214,780e35ea5cda,Santiago Bernabeu,Madrid,España,Gianluca Rocchi,5,2,0.7,0.3
m_47,2011-2012,27-03-2012,e4bbc3bef62e,8056df088208,Estadio da Luz,Lisboa,Portugal,Paolo Tagliavento,0,1,0.56,0.44
m_48,2011-2012,04-04-2012,8056df088208,e4bbc3bef62e,Stamford Bridge,Londres,Inglaterra,Damir Skomina,2,1,0.49,0.51
m_49,2011-2012,28-03-2012,088d5f86b6f2,550d05ab240e,San Siro,Milán,Italia,Jonas Eriksson,0,0,0.35,0.65
m_50,2011-2012,03-04-2012,550d05ab240e,088d5f86b6f2,Camp Nou,Barcelona,España,Björn Kuipers,3,1,0.62,0.38
m_51,2011-2012,28-03-2012,8377de0f1845,240dd2121e44,Stade Velodrome,Marseille,Francia,Carlos Velasco Carballo,0,2,0.42,0.58
m_52,2011-2012,03-04-2012,240dd2121e44,8377de0f1845,Allianz Arena,Munich,Alemania,Svein Oddvar Moen,2,0,0.5,0.5
m_53,2011-2012,17-04-2012,240dd2121e44,93330b415214,Allianz Arena,Munich,Alemania,Howard Webb,2,1,0.55,0.45
m_54,2011-2012,25-04-2012,93330b415214,240dd2121e44,Santiago Bernabeu,Madrid,España,Viktor Kassai,2,1,0.45,0.55
m_55,2011-2012,18-04-2012,8056df088208,550d05ab240e,Stamford Bridge,Londres,Inglaterra,Felix Brych,1,0,0.21,0.79
m_56,2011-2012,24-04-2012,550d05ab240e,8056df088208,Camp Nou,Barcelona,España,Cüneyt Çakır,2,2,0.82,0.18
m_57,2011-2012,19-05-2012,240dd2121e44,8056df088208,Allianz Arena,Munich,Alemania,Pedro Proença,1,1,0.56,0.44
m_58,2012-2013,12-02-2013,84f918364fcc,fdb4b66db097,Celtic Park,Glasgow,Escocia,Alberto Undiano Mallenco,0,3,0.53,0.47
m_59,2012-2013,06-03-2013,fdb4b66db097,84f918364fcc,Juventus Stadium,Turin,Italia,Fırat Aydınus,2,0,0.44,0.56
m_60,2012-2013,12-02-2013,bddfcdfa742c,bdec8a408440,Mestalla,Valencia,España,Paolo Tagliavento,1,2,0.66,0.34
m_61,2012-2013,06-03-2013,bdec8a408440,bddfcdfa742c,Parc des Princes,Paris,Francia,Milorad Mažić,1,1,0.64,0.36
m_62,2012-2013,13-02-2013,93330b415214,9ff48521032a,Santiago Bernabeu,Madrid,España,,1,1,0.61,0.39
m_63,2012-2013,05-03-2013,9ff48521032a,93330b415214,Old Trafford,Manchester,Inglaterra,,1,2,0.37,0.63
