match_id,season,date,home_team_id,away_team_id,stadium,city,country,referee,home_score,away_score,possession_home,possession_away
match_0fce2ab3aa2a,2013-2014,09-04-2014,team_005131c0e2cb,team_2cd2088171b7,Allianz Arena,Munich,Alemania,NULL,3,1,0.65,0.35
match_105ca73cf8f4,2013-2014,02-04-2014,team_bd172eeb9d96,team_97ee5474801c,Santiago Bernabeu,Madrid,España,Mark Clattenburg,3,0,0.61,0.39
match_c36c40da1689,2013-2014,08-04-2014,team_97ee5474801c,team_bd172eeb9d96,Signal Iduna Park,Dortmund,Alemania,Damir Skomina,2,0,0.51,0.49
match_8b4ceeb9fa50,2013-2014,02-04-2014,team_268fb4595b07,team_91cb315a6405,Parc des Princes,Paris,Francia,Milorad Mažić,3,1,0.41,0.59
match_a11cabc2e3e3,2013-2014,08-04-2014,team_91cb315a6405,team_268fb4595b07,Stamford Bridge,Londres,Inglaterra,Pedro Proença,2,0,0.52,0.48
match_e3d12ade9c09,2013-2014,22-04-2014,team_7c96c6c75fa1,team_91cb315a6405,Vicente Calderon,Madrid,España,Jonas Eriksson,0,0,0.68,0.32
match_88fa7edab05e,2013-2014,30-04-2014,team_91cb315a6405,team_7c96c6c75fa1,Stamford Bridge,Londres,Inglaterra,Nicola Rizzoli,1,3,0.48,0.52
match_274789b77a0d,2013-2014,23-04-2014,team_bd172eeb9d96,team_005131c0e2cb,Santiago Bernabeu,Madrid,España,Howard Webb,1,0,0.28,0.72
match_7d3d614dc68f,2013-2014,29-04-2014,team_005131c0e2cb,team_bd172eeb9d96,Allianz Arena,Munich,Alemania,Pedro Proença,0,4,0.69,0.31
match_bbeac7708b5c,2013-2014,24-05-2014,team_bd172eeb9d96,team_7c96c6c75fa1,Estadio da Luz,Lisboa,Portugal,Björn Kuipers,4,1,0.62,0.38
match_11a17f9d4505,2014-2015,17-02-2015,team_268fb4595b07,team_91cb315a6405,Parc des Princes,Paris,Francia,Cüneyt Çakır,1,1,0.45,0.54
match_c245f8e47370,2014-2015,11-03-2015,team_91cb315a6405,team_268fb4595b07,Stamford Bridge,Londres,Inglaterra,Björn Kuipers,2,2,0.49,0.51
match_0dfc79761291,2014-2015,18-02-2015,team_13d462033389,team_dea56e47f1c6,Etihad Stadium,Manchester,Inglaterra,NULL,1,2,0.37,0.62
match_aba92d8c02c7,2014-2015,18-03-2015,team_dea56e47f1c6,team_13d462033389,Camp Nou,Barcelona,España,Gianluca Rocchi,1,0,0.57,0.42
match_1d11473bf025,2014-2015,24-02-2015,team_099f7fbab1ee,team_7c96c6c75fa1,BayArena,Leverkusen,Alemania,NULL,1,0,0.65,0.34
match_846d82ab59c7,2014-2015,17-03-2015,team_7c96c6c75fa1,team_099f7fbab1ee,Vicente Calderon,Madrid,España,Nicola Rizzoli,1,0,0.48,0.51
match_6285548d35e7,2014-2015,24-02-2015,team_1c5442c0461e,team_77f09e122946,Emirates Stadium,Londres,Inglaterra,NULL,1,3,0.57,0.42
match_f1b9c24a5cdb,2014-2015,17-03-2015,team_77f09e122946,team_1c5442c0461e,Stade Louis II,Monaco,Monaco,Svein Oddvar Moen,0,2,0.29,0.7
match_b6065611fb1b,2014-2015,25-02-2015,team_c8257652cf16,team_005131c0e2cb,Arena Lviv,Lviv,Ucrania,NULL,0,0,0.36,0.63
match_d0271fd36990,2014-2015,11-03-2015,team_005131c0e2cb,team_c8257652cf16,Allianz Arena,Munich,Alemania,William Collum,7,0,0.73,0.26
match_d3d0e10ff912,2014-2015,25-02-2015,team_b72cd3ffa1d1,team_bd172eeb9d96,Veltins-Arena,Gelsenkirchen,Alemania,NULL,0,2,0.39,0.61
match_a92b3436834c,2014-2015,10-03-2015,team_bd172eeb9d96,team_b72cd3ffa1d1,Santiago Bernabeu,Madrid,España,Damir Skomina,3,4,0.48,0.52
match_1c451d308bb1,2014-2015,18-02-2015,team_7aaf6c53e9fe,team_71d6c631e36a,St. Jakob-Park,Basilea,Suiza,Mark Clattenburg,1,1,0.37,0.63
match_c459a911bb7f,2014-2015,10-03-2015,team_71d6c631e36a,team_7aaf6c53e9fe,Estadio do Dragao,Porto,Portugal,Jonas Eriksson,4,0,0.51,0.48
match_0c51ea9c4814,2014-2015,17-02-2015,team_b89dc80fb627,team_97ee5474801c,Juventus Stadium,Turin,Italia,NULL,2,1,0.46,0.53
match_dd91a5784b2f,2014-2015,18-03-2015,team_97ee5474801c,team_b89dc80fb627,Signal Iduna Park,Dortmund,Alemania,Milorad Mažić,0,3,0.55,0.44
match_43ac1a7f62ef,2014-2015,14-04-2015,team_7c96c6c75fa1,team_bd172eeb9d96,Vicente Calderon,Madrid,España,Milorad Mažić,0,0,0.39,0.61
match_79b21f284220,2014-2015,22-04-2015,team_bd172eeb9d96,team_7c96c6c75fa1,Santiago Bernabeu,Madrid,España,Felix Brych,1,0,0.63,0.37
match_f8019fc76946,2014-2015,14-04-2015,team_268fb4595b07,team_dea56e47f1c6,Parc des Princes,Paris,Francia,NULL,1,3,0.66,0.34
